country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,data_source
Tonga,TON,2016,-0.4450608,-0.2822334,0.2584811,WWGI
Turkmenistan,TKM,2016,-1.518446,-1.126665,-1.490112,WWGI
Tuvalu,TUV,2016,0.030646,-0.9257045,0.4657974,WWGI
Uzbekistan,UZB,2016,-1.168731,-0.5774477,-1.107054,WWGI
Vanuatu,VUT,2016,-0.0958526,-0.8800073,0.3382198,WWGI
Vietnam,VNM,2016,-0.452351,0.0194756,0.0752823,WWGI
Afghanistan,AFG,2017,-1.515626,-1.325545,-1.562423,WWGI
Armenia,ARM,2017,-0.5633132,-0.1026952,-0.1606279,WWGI
Australia,AUS,2017,1.798351,1.538219,1.686461,WWGI
Azerbaijan,AZE,2017,-0.8853079,-0.1726412,-0.5575179,WWGI
Bangladesh,BGD,2017,-0.8317032,-0.7350984,-0.6718881,WWGI
Bhutan,BTN,2017,1.553321,0.5571043,0.611513,WWGI
Brunei Darussalam,BRN,2017,0.7151719,1.146735,0.6497172,WWGI
Cambodia,KHM,2017,-1.289828,-0.659631,-1.053886,WWGI
China,CHN,2017,-0.27085,0.4137717,-0.2667109,WWGI
"Hong Kong SAR, China",HKG,2017,1.618103,1.905391,1.722528,WWGI
Cook Islands,COK,2017,,,,WWGI
Fiji,FJI,2017,0.3450749,0.0698404,-0.2647003,WWGI
Georgia,GEO,2017,0.7407625,0.5757037,0.3208365,WWGI
India,IND,2017,-0.2419506,0.0868715,-0.0012233,WWGI
Indonesia,IDN,2017,-0.2548542,0.0383757,-0.349676,WWGI
Japan,JPN,2017,1.525538,1.619905,1.57062,WWGI
Kazakhstan,KAZ,2017,-0.820714,0.0036757,-0.4140919,WWGI
Kiribati,KIR,2017,0.3631015,-0.2675972,0.4754284,WWGI
Kyrgyz Republic,KGZ,2017,-1.056221,-0.7085057,-0.9245595,WWGI
Lao PDR,LAO,2017,-0.9369708,-0.3854913,-0.8810804,WWGI
Malaysia,MYS,2017,0.0590311,0.8348417,0.4976971,WWGI
Maldives,MDV,2017,-0.7923263,-0.4604082,-0.6224615,WWGI
Marshall Islands,MHL,2017,-0.0533027,-1.530098,0.092149,WWGI
