country_name,iso,year,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),data_source
Papua New Guinea,PNG,2018,3,3,2,CPIA
Samoa,WSM,2018,4,4,3.5,CPIA
Solomon Islands,SLB,2018,3,2,2.5,CPIA
Sri Lanka,LKA,2018,,,,CPIA
Tajikistan,TJK,2018,2,3,3,CPIA
Timor-Leste,TLS,2018,2.5,2,2,CPIA
Tuvalu,TUV,2018,3.5,2.5,3,CPIA
Uzbekistan,UZB,2018,2.5,3,3.5,CPIA
Vietnam,VNM,2018,,,,CPIA
Vanuatu,VUT,2018,3,3,3.5,CPIA
Afghanistan,AFG,2019,2,2.5,2.5,CPIA
Armenia,ARM,2019,,,,CPIA
Bangladesh,BGD,2019,2.5,2.5,3,CPIA
Bhutan,BTN,2019,4.5,4,4,CPIA
Cambodia,KHM,2019,1.5,2.5,3,CPIA
Fiji,FJI,2019,,,,CPIA
Georgia,GEO,2019,,,,CPIA
India,IND,2019,,,,CPIA
Kiribati,KIR,2019,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2019,3,3,3,CPIA
Lao PDR,LAO,2019,2.5,2.5,3.5,CPIA
Maldives,MDV,2019,3,3,4,CPIA
Marshall Islands,MHL,2019,3.5,2,3,CPIA
"Micronesia, Fed. Sts.",FSM,2019,3.5,2.5,2.5,CPIA
Mongolia,MNG,2019,3,3.5,3.5,CPIA
Myanmar,MMR,2019,2.5,2.5,2.5,CPIA
Nepal,NPL,2019,3,2.5,3.5,CPIA
Pakistan,PAK,2019,3,3,3,CPIA
Papua New Guinea,PNG,2019,2.5,2.5,2,CPIA
Samoa,WSM,2019,4,4,3.5,CPIA
Solomon Islands,SLB,2019,3,2,2.5,CPIA
Sri Lanka,LKA,2019,3,3.5,3.5,CPIA
Tajikistan,TJK,2019,2,3,3,CPIA
Timor-Leste,TLS,2019,3,2,2,CPIA
Tuvalu,TUV,2019,3.5,2.5,3,CPIA
Uzbekistan,UZB,2019,2.5,3,3.5,CPIA
Vietnam,VNM,2019,,,,CPIA
Vanuatu,VUT,2019,3,3,3.5,CPIA
Afghanistan,AFG,2020,2,2.5,2.5,CPIA
Armenia,ARM,2020,,,,CPIA
Bangladesh,BGD,2020,2.5,2,3,CPIA
Bhutan,BTN,2020,4.5,4,4,CPIA
Cambodia,KHM,2020,1.5,2.5,3,CPIA
Fiji,FJI,2020,3.5,3.5,4,CPIA
Georgia,GEO,2020,,,,CPIA
India,IND,2020,,,,CPIA
Kiribati,KIR,2020,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2020,3,3,3,CPIA
Lao PDR,LAO,2020,2.5,2.5,3.5,CPIA
Maldives,MDV,2020,3,3,4,CPIA
Marshall Islands,MHL,2020,3.5,2,3,CPIA
"Micronesia, Fed. Sts.",FSM,2020,3.5,2.5,3,CPIA
Mongolia,MNG,2020,,,,CPIA
Myanmar,MMR,2020,2.5,2.5,2.5,CPIA
Nepal,NPL,2020,3,2.5,3.5,CPIA
Pakistan,PAK,2020,3,3,3,CPIA
Papua New Guinea,PNG,2020,2.5,2.5,2,CPIA
Samoa,WSM,2020,4,4,3.5,CPIA
Solomon Islands,SLB,2020,3,2,2.5,CPIA
Sri Lanka,LKA,2020,,,,CPIA
Tajikistan,TJK,2020,2,3,3,CPIA
Timor-Leste,TLS,2020,3,2,2,CPIA
Tuvalu,TUV,2020,3.5,2.5,3,CPIA
Uzbekistan,UZB,2020,2.5,3,3.5,CPIA
Vietnam,VNM,2020,,,,CPIA
Vanuatu,VUT,2020,3,3,3.5,CPIA
